project,seed1,seed2,T-test,U-test
commons-cli,123,1202,0.133,0.180
commons-cli,123,1999,0.270,0.310
commons-cli,123,2002,0.000,0.002
commons-cli,123,2024,0.801,0.818
commons-cli,123,31415,0.377,0.818
commons-cli,123,99999,0.000,0.002
commons-cli,123,default,0.029,0.026
commons-cli,123,fastest,0.000,0.002
commons-cli,216,1202,0.000,0.002
commons-cli,216,1999,0.000,0.002
commons-cli,216,2002,0.000,0.002
commons-cli,216,2024,0.000,0.002
commons-cli,216,31415,0.000,0.002
commons-cli,216,99999,0.000,0.002
commons-cli,216,default,0.000,0.002
commons-cli,216,fastest,0.000,0.002
commons-cli,1202,1999,0.353,0.818
commons-cli,1202,2002,0.000,0.002
commons-cli,1202,2024,0.148,0.485
commons-cli,1202,31415,0.066,0.015
commons-cli,1202,99999,0.000,0.002
commons-cli,1202,default,0.850,0.818
commons-cli,1202,fastest,0.000,0.002
commons-cli,1999,2002,0.000,0.002
commons-cli,1999,2024,0.311,0.394
commons-cli,1999,31415,0.062,0.132
commons-cli,1999,99999,0.000,0.002
commons-cli,1999,default,0.225,0.180
commons-cli,1999,fastest,0.000,0.002
commons-cli,2002,2024,0.000,0.002
commons-cli,2002,31415,0.000,0.002
commons-cli,2002,99999,0.480,0.485
commons-cli,2002,default,0.000,0.002
commons-cli,2002,fastest,0.000,0.002
commons-cli,2024,31415,0.172,0.240
commons-cli,2024,99999,0.000,0.002
commons-cli,2024,default,0.028,0.041
commons-cli,2024,fastest,0.000,0.002
commons-cli,31415,99999,0.000,0.002
commons-cli,31415,default,0.005,0.026
commons-cli,31415,fastest,0.000,0.002
commons-cli,99999,default,0.000,0.002
commons-cli,99999,fastest,0.000,0.002
commons-cli,default,fastest,0.000,0.002
commons-csv,0,42,0.001,0.002
commons-csv,0,123,0.000,0.002
commons-csv,0,216,0.884,0.937
commons-csv,0,1202,0.000,0.002
commons-csv,0,1999,0.000,0.002
commons-csv,0,2002,0.000,0.002
commons-csv,0,2024,0.000,0.002
commons-csv,0,31415,0.001,0.002
commons-csv,0,99999,0.000,0.002
commons-csv,0,default,0.147,1.000
commons-csv,0,fastest,0.000,0.002
commons-csv,42,123,0.225,0.589
commons-csv,42,216,0.001,0.002
commons-csv,42,1202,0.112,0.310
commons-csv,42,1999,0.107,0.240
commons-csv,42,2002,0.562,0.589
commons-csv,42,2024,0.239,0.310
commons-csv,42,31415,0.034,0.041
commons-csv,42,99999,0.455,0.485
commons-csv,42,default,0.132,0.065
commons-csv,42,fastest,0.000,0.002
commons-csv,123,216,0.000,0.002
commons-csv,123,1202,0.367,0.394
commons-csv,123,1999,0.341,0.394
commons-csv,123,2002,0.019,0.065
commons-csv,123,2024,0.916,0.818
commons-csv,123,31415,0.000,0.002
commons-csv,123,99999,0.015,0.065
commons-csv,123,default,0.012,0.065
commons-csv,123,fastest,0.000,0.002
commons-csv,216,1202,0.000,0.002
commons-csv,216,1999,0.000,0.002
commons-csv,216,2002,0.000,0.002
commons-csv,216,2024,0.000,0.002
commons-csv,216,31415,0.001,0.002
commons-csv,216,99999,0.000,0.002
commons-csv,216,default,0.145,1.000
commons-csv,216,fastest,0.000,0.002
commons-csv,1202,1999,0.948,1.000
commons-csv,1202,2002,0.008,0.009
commons-csv,1202,2024,0.545,0.485
commons-csv,1202,31415,0.000,0.002
commons-csv,1202,99999,0.006,0.009
commons-csv,1202,default,0.007,0.026
commons-csv,1202,fastest,0.000,0.002
commons-csv,1999,2002,0.008,0.015
commons-csv,1999,2024,0.515,0.485
commons-csv,1999,31415,0.000,0.002
commons-csv,1999,99999,0.006,0.015
commons-csv,1999,default,0.007,0.026
commons-csv,1999,fastest,0.000,0.002
commons-csv,2002,2024,0.034,0.065
commons-csv,2002,31415,0.033,0.132
commons-csv,2002,99999,0.815,0.589
commons-csv,2002,default,0.208,0.394
commons-csv,2002,fastest,0.000,0.002
commons-csv,2024,31415,0.000,0.002
commons-csv,2024,99999,0.026,0.065
commons-csv,2024,default,0.015,0.065
commons-csv,2024,fastest,0.000,0.002
commons-csv,31415,99999,0.065,0.132
commons-csv,31415,default,0.978,0.589
commons-csv,31415,fastest,0.000,0.002
commons-csv,99999,default,0.271,0.394
commons-csv,99999,fastest,0.000,0.002
commons-csv,default,fastest,0.000,0.002
commons-codec,0,42,0.000,0.002
commons-codec,0,123,0.159,0.937
commons-codec,0,216,0.041,0.041
commons-codec,0,1202,0.020,0.041
commons-codec,0,1999,0.010,0.041
commons-codec,0,2002,0.006,0.041
commons-codec,0,2024,0.008,0.065
commons-codec,0,31415,0.020,0.065
commons-codec,0,99999,0.509,0.394
commons-codec,0,default,0.209,0.394
commons-codec,0,fastest,0.002,0.002
commons-codec,42,123,0.000,0.002
commons-codec,42,216,0.000,0.002
commons-codec,42,1202,0.000,0.002
commons-codec,42,1999,0.000,0.002
commons-codec,42,2002,0.000,0.002
commons-codec,42,2024,0.289,0.699
commons-codec,42,31415,0.000,0.002
commons-codec,42,99999,0.001,0.002
commons-codec,42,default,0.000,0.002
commons-codec,42,fastest,0.000,0.002
commons-codec,123,216,0.492,0.310
commons-codec,123,1202,0.401,1.000
commons-codec,123,1999,0.172,0.132
commons-codec,123,2002,0.154,0.065
commons-codec,123,2024,0.005,0.015
commons-codec,123,31415,0.403,0.699
commons-codec,123,99999,0.936,1.000
commons-codec,123,default,0.068,0.180
commons-codec,123,fastest,0.005,0.015
commons-codec,216,1202,0.111,0.485
commons-codec,216,1999,0.465,0.485
commons-codec,216,2002,0.447,0.589
commons-codec,216,2024,0.002,0.015
commons-codec,216,31415,0.912,0.937
commons-codec,216,99999,0.593,0.818
commons-codec,216,default,0.023,0.026
commons-codec,216,fastest,0.009,0.015
commons-codec,1202,1999,0.025,0.065
commons-codec,1202,2002,0.017,0.093
commons-codec,1202,2024,0.004,0.065
commons-codec,1202,31415,0.062,0.065
commons-codec,1202,99999,0.726,0.818
commons-codec,1202,default,0.066,0.093
commons-codec,1202,fastest,0.003,0.004
commons-codec,1999,2002,0.999,1.000
commons-codec,1999,2024,0.001,0.009
commons-codec,1999,31415,0.508,0.485
commons-codec,1999,99999,0.306,0.485
commons-codec,1999,default,0.007,0.015
commons-codec,1999,fastest,0.015,0.041
commons-codec,2002,2024,0.001,0.009
commons-codec,2002,31415,0.489,0.589
commons-codec,2002,99999,0.297,0.589
commons-codec,2002,default,0.005,0.015
commons-codec,2002,fastest,0.015,0.026
commons-codec,2024,31415,0.002,0.015
commons-codec,2024,99999,0.023,0.026
commons-codec,2024,default,0.039,0.065
commons-codec,2024,fastest,0.000,0.004
commons-codec,31415,99999,0.536,0.589
commons-codec,31415,default,0.013,0.026
commons-codec,31415,fastest,0.009,0.041
commons-codec,99999,default,0.272,0.485
commons-codec,99999,fastest,0.008,0.009
commons-codec,default,fastest,0.002,0.004
delight-nashorn-sandbox,0,42,0.000,0.002
delight-nashorn-sandbox,0,123,0.201,0.240
delight-nashorn-sandbox,0,216,0.812,1.000
delight-nashorn-sandbox,0,1202,0.978,0.937
delight-nashorn-sandbox,0,1999,0.298,0.394
delight-nashorn-sandbox,0,2002,0.512,0.394
delight-nashorn-sandbox,0,2024,0.426,0.394
delight-nashorn-sandbox,0,31415,0.004,0.004
delight-nashorn-sandbox,0,99999,0.002,0.004
delight-nashorn-sandbox,0,default,0.050,0.093
delight-nashorn-sandbox,0,fastest,0.000,0.002
delight-nashorn-sandbox,42,123,0.002,0.004
delight-nashorn-sandbox,42,216,0.000,0.002
delight-nashorn-sandbox,42,1202,0.003,0.002
delight-nashorn-sandbox,42,1999,0.059,0.093
delight-nashorn-sandbox,42,2002,0.027,0.015
delight-nashorn-sandbox,42,2024,0.002,0.002
delight-nashorn-sandbox,42,31415,0.000,0.002
delight-nashorn-sandbox,42,99999,0.000,0.004
delight-nashorn-sandbox,42,default,0.037,0.394
delight-nashorn-sandbox,42,fastest,0.000,0.002
delight-nashorn-sandbox,123,216,0.196,0.240
delight-nashorn-sandbox,123,1202,0.373,0.589
delight-nashorn-sandbox,123,1999,0.863,0.589
delight-nashorn-sandbox,123,2002,0.834,1.000
delight-nashorn-sandbox,123,2024,0.699,0.699
delight-nashorn-sandbox,123,31415,0.215,0.180
delight-nashorn-sandbox,123,99999,0.118,0.132
delight-nashorn-sandbox,123,default,0.406,0.394
delight-nashorn-sandbox,123,fastest,0.000,0.002
delight-nashorn-sandbox,216,1202,0.846,0.937
delight-nashorn-sandbox,216,1999,0.268,0.394
delight-nashorn-sandbox,216,2002,0.450,0.310
delight-nashorn-sandbox,216,2024,0.376,0.310
delight-nashorn-sandbox,216,31415,0.013,0.041
delight-nashorn-sandbox,216,99999,0.007,0.026
delight-nashorn-sandbox,216,default,0.058,0.093
delight-nashorn-sandbox,216,fastest,0.000,0.002
delight-nashorn-sandbox,1202,1999,0.396,0.240
delight-nashorn-sandbox,1202,2002,0.599,0.394
delight-nashorn-sandbox,1202,2024,0.577,0.818
delight-nashorn-sandbox,1202,31415,0.072,0.132
delight-nashorn-sandbox,1202,99999,0.045,0.180
delight-nashorn-sandbox,1202,default,0.141,0.180
delight-nashorn-sandbox,1202,fastest,0.000,0.002
delight-nashorn-sandbox,1999,2002,0.755,0.818
delight-nashorn-sandbox,1999,2024,0.654,0.589
delight-nashorn-sandbox,1999,31415,0.554,0.937
delight-nashorn-sandbox,1999,99999,0.417,0.699
delight-nashorn-sandbox,1999,default,0.652,0.818
delight-nashorn-sandbox,1999,fastest,0.000,0.002
delight-nashorn-sandbox,2002,2024,0.937,0.818
delight-nashorn-sandbox,2002,31415,0.318,0.937
delight-nashorn-sandbox,2002,99999,0.228,0.818
delight-nashorn-sandbox,2002,default,0.419,0.589
delight-nashorn-sandbox,2002,fastest,0.000,0.002
delight-nashorn-sandbox,2024,31415,0.119,0.180
delight-nashorn-sandbox,2024,99999,0.067,0.093
delight-nashorn-sandbox,2024,default,0.258,0.310
delight-nashorn-sandbox,2024,fastest,0.000,0.002
delight-nashorn-sandbox,31415,99999,0.502,0.818
delight-nashorn-sandbox,31415,default,0.917,0.937
delight-nashorn-sandbox,31415,fastest,0.000,0.002
delight-nashorn-sandbox,99999,default,0.661,1.000
delight-nashorn-sandbox,99999,fastest,0.000,0.002
delight-nashorn-sandbox,default,fastest,0.000,0.002
empire-db,0,42,0.000,0.002
empire-db,0,123,0.000,0.002
empire-db,0,216,0.000,0.002
empire-db,0,1202,0.000,0.002
empire-db,0,1999,0.000,0.002
empire-db,0,2002,0.000,0.002
empire-db,0,2024,0.000,0.002
empire-db,0,31415,0.000,0.002
empire-db,0,99999,0.000,0.002
empire-db,0,default,0.949,0.240
empire-db,0,fastest,0.000,0.002
empire-db,42,123,0.873,1.000
empire-db,42,216,0.000,0.002
empire-db,42,1202,0.528,0.589
empire-db,42,1999,0.732,0.937
empire-db,42,2002,0.000,0.002
empire-db,42,2024,0.332,0.394
empire-db,42,31415,0.724,0.818
empire-db,42,99999,0.000,0.002
empire-db,42,default,0.000,0.002
empire-db,42,fastest,0.004,0.002
empire-db,123,216,0.000,0.002
empire-db,123,1202,0.516,0.699
empire-db,123,1999,0.789,0.699
empire-db,123,2002,0.000,0.002
empire-db,123,2024,0.310,0.310
empire-db,123,31415,0.775,0.589
empire-db,123,99999,0.000,0.002
empire-db,123,default,0.000,0.002
empire-db,123,fastest,0.004,0.002
empire-db,216,1202,0.000,0.002
empire-db,216,1999,0.000,0.002
empire-db,216,2002,0.349,0.937
empire-db,216,2024,0.000,0.002
empire-db,216,31415,0.000,0.002
empire-db,216,99999,0.780,0.818
empire-db,216,default,0.000,0.002
empire-db,216,fastest,0.001,0.002
empire-db,1202,1999,0.711,0.818
empire-db,1202,2002,0.000,0.002
empire-db,1202,2024,0.617,0.699
empire-db,1202,31415,0.682,0.818
empire-db,1202,99999,0.000,0.002
empire-db,1202,default,0.000,0.002
empire-db,1202,fastest,0.005,0.004
empire-db,1999,2002,0.000,0.002
empire-db,1999,2024,0.425,0.310
empire-db,1999,31415,0.990,0.818
empire-db,1999,99999,0.000,0.002
empire-db,1999,default,0.000,0.002
empire-db,1999,fastest,0.004,0.002
empire-db,2002,2024,0.000,0.002
empire-db,2002,31415,0.000,0.002
empire-db,2002,99999,0.276,0.818
empire-db,2002,default,0.000,0.002
empire-db,2002,fastest,0.001,0.002
empire-db,2024,31415,0.401,0.240
empire-db,2024,99999,0.000,0.002
empire-db,2024,default,0.000,0.002
empire-db,2024,fastest,0.006,0.004
empire-db,31415,99999,0.000,0.002
empire-db,31415,default,0.000,0.002
empire-db,31415,fastest,0.004,0.002
empire-db,99999,default,0.000,0.002
empire-db,99999,fastest,0.001,0.002
empire-db,default,fastest,0.000,0.002
